SIT_MATRICULA,RENDA_FAMILIAR,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO,APROVADO
1,0,2012,10,0,0,0,0,1,1,1,1,1,5.7,0,54,2014,19,0
0,0,2012,10,0,0,0,4,1,0,0,0,0,6.5,0,54,2014,22,1
0,0,2012,10,0,0,0,0,1,2,2,2,2,5.2,0,54,2014,21,0
0,0,2013,10,0,0,0,0,2,1,2,1,3,5.2,0,54,2014,21,0
1,0,2011,10,0,1,0,0,1,0,0,0,0,7.9,0,54,2014,20,1
0,4,2013,8,0,0,0,0,1,1,1,1,1,8.5,0,54,2014,19,1
1,0,2006,10,0,0,0,0,1,0,0,0,0,0.0,0,54,2014,25,0
1,0,2008,10,1,0,0,0,1,2,3,2,3,0.0,0,54,2014,23,0
1,0,2008,10,1,0,0,0,1,2,3,2,3,0.0,2,54,2014,23,0
0,0,2011,10,0,0,0,0,1,2,2,2,2,7.0,0,54,2014,20,1
1,0,2013,10,0,0,0,3,1,0,0,0,0,7.0,0,54,2014,18,1
1,0,2013,10,0,0,0,0,1,1,2,1,2,7.0,0,54,2015,18,1
1,0,2013,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2014,18,1
1,4,2012,8,0,0,0,0,1,0,0,0,0,0.0,66,54,2014,19,0
0,4,2013,8,0,0,0,3,1,0,0,0,0,10.0,0,54,2014,18,1
1,4,2012,8,0,0,0,0,1,0,0,0,0,0.0,0,54,2014,19,0
1,0,2007,10,0,0,0,0,1,1,2,2,2,6.0,0,54,2014,25,1
1,0,2013,10,0,0,0,0,1,1,1,1,1,0.0,70,54,2014,18,0
1,0,2013,10,0,0,0,0,2,1,1,1,2,0.0,70,54,2014,18,0
0,0,2013,10,0,0,0,0,1,0,0,0,0,7.0,0,54,2014,18,1
0,0,2013,10,0,0,0,0,1,0,0,0,0,10.0,0,54,2014,18,1
1,0,2012,10,0,0,0,0,1,0,0,0,0,0.0,70,54,2014,19,0
0,0,2012,10,0,0,0,0,1,3,3,2,3,0.0,0,54,2014,18,0
0,0,2012,10,0,0,0,0,1,3,3,2,3,6.0,0,54,2014,18,1
1,0,2013,10,0,0,0,1,1,0,0,0,0,0.0,66,54,2014,22,0
1,0,2013,10,0,0,0,0,1,2,2,2,3,6.0,0,54,2014,17,1
1,0,2012,10,0,0,0,1,1,0,0,0,0,6.0,0,54,2013,18,1
0,0,2008,10,0,0,0,1,1,1,1,1,1,6.0,0,54,2013,23,1
1,0,2012,10,0,0,0,0,1,3,3,3,3,6.0,0,54,2013,18,1
1,0,2012,10,0,0,0,0,2,1,2,1,2,6.0,0,54,2013,18,1
0,0,2012,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,18,1
1,0,2002,10,0,1,0,0,1,0,0,0,0,6.0,0,54,2013,29,1
